rank,gid,role,priority_score,why
1,100000003684369100,coordinator,1.0,"Признаки узла управления: получает от 24, переводит 62 получателям, по посредничеству в топ-1% узлов, достижим от 9 seed. Seed: входящие занижены выгрузкой. Из полученного 3,1 млн (100%) прослеживается к seed. Блокировка убирает 5.8% меченого потока. Кластер 3. Гипотеза для проверки, не вывод о вине."
2,100000008165763100,coordinator,0.9761,"Признаки узла управления: получает от 15, переводит 17 получателям, по посредничеству в топ-3% узлов, достижим от 9 seed. Из полученного 807 тыс (66%) прослеживается к seed. Блокировка убирает 0.6% меченого потока. Кластер 3. Гипотеза для проверки, не вывод о вине."
3,100000003115284100,consolidator,0.9598,"Признаки сбора: 8 разных плательщиков, получил 2,2 млн, до 7 плат. в один день; передал дальше 24%. Из полученного 1,7 млн (72%) прослеживается к seed. Блокировка убирает 0.8% меченого потока. Кластер 11. Гипотеза для проверки, не вывод о вине."
4,100000000331309100,coordinator,0.9571,"Признаки узла управления: получает от 5, переводит 99 получателям, по посредничеству в топ-1% узлов, достижим от 7 seed. Из полученного 643 тыс (62%) прослеживается к seed. Блокировка убирает 7.9% меченого потока. Кластер 8. Гипотеза для проверки, не вывод о вине."
5,100000000437046100,coordinator,0.9561,"Признаки узла управления: получает от 9, переводит 42 получателям, по посредничеству в топ-1% узлов, достижим от 7 seed. Из полученного 841 тыс (75%) прослеживается к seed. Блокировка убирает 3.2% меченого потока. Кластер 1. Гипотеза для проверки, не вывод о вине."
6,100000008477350100,coordinator,0.9507,"Признаки узла управления: получает от 11, переводит 39 получателям, по посредничеству в топ-1% узлов, достижим от 7 seed. Из полученного 514 тыс (83%) прослеживается к seed. Блокировка убирает 2.8% меченого потока. Кластер 1. Гипотеза для проверки, не вывод о вине."
7,100000008686313100,coordinator,0.9478,"Признаки узла управления: получает от 6, переводит 7 получателям, по посредничеству в топ-1% узлов, достижим от 7 seed. Из полученного 1,4 млн (67%) прослеживается к seed. Блокировка убирает 0.6% меченого потока. Кластер 1. Гипотеза для проверки, не вывод о вине."
8,100000001857829100,coordinator,0.9439,"Признаки узла управления: получает от 6, переводит 16 получателям, по посредничеству в топ-1% узлов, достижим от 7 seed. Из полученного 438 тыс (41%) прослеживается к seed. Блокировка убирает 3.1% меченого потока. Кластер 6. Гипотеза для проверки, не вывод о вине."
9,100000005074393100,consolidator,0.9428,"Признаки сбора: 4 разных плательщиков, получил 563 тыс; передал дальше 122%. Из полученного 464 тыс (77%) прослеживается к seed. Блокировка убирает 0.5% меченого потока. Кластер 13. Гипотеза для проверки, не вывод о вине."
10,100000007908818100,consolidator,0.9411,"Признаки сбора: 4 разных плательщиков, получил 727 тыс; передал дальше 42%. Из полученного 565 тыс (75%) прослеживается к seed. Блокировка убирает 0.3% меченого потока. Кластер 3. Гипотеза для проверки, не вывод о вине."
11,100000004156082100,coordinator,0.9371,"Признаки узла управления: получает от 5, переводит 26 получателям, по посредничеству в топ-1% узлов, достижим от 7 seed. Из полученного 375 тыс (99%) прослеживается к seed. Блокировка убирает 1.2% меченого потока. Кластер 15. Гипотеза для проверки, не вывод о вине."
12,100000006866783100,coordinator,0.9306,"Признаки узла управления: получает от 13, переводит 67 получателям, по посредничеству в топ-1% узлов, достижим от 6 seed. Seed: входящие занижены выгрузкой. Из полученного 601 тыс (100%) прослеживается к seed. Блокировка убирает 23.1% меченого потока. Кластер 1. Гипотеза для проверки, не вывод о вине."
13,100000003016635100,coordinator,0.9299,"Признаки узла управления: получает от 8, переводит 73 получателям, по посредничеству в топ-1% узлов, достижим от 6 seed. Seed: входящие занижены выгрузкой. Из полученного 537 тыс (100%) прослеживается к seed. Блокировка убирает 12.3% меченого потока. Кластер 7. Гипотеза для проверки, не вывод о вине."
14,100000006889963100,consolidator,0.9254,"Признаки сбора: 4 разных плательщиков, получил 1,4 млн, до 4 плат. в один день; передал дальше 31%. Из полученного 1,1 млн (74%) прослеживается к seed. Блокировка убирает 0.6% меченого потока. Кластер 8. Гипотеза для проверки, не вывод о вине."
15,100000007442518100,coordinator,0.9232,"Признаки узла управления: получает от 5, переводит 9 получателям, по посредничеству в топ-4% узлов, достижим от 7 seed. Из полученного 299 тыс (50%) прослеживается к seed. Блокировка убирает 1.4% меченого потока. Кластер 29. Гипотеза для проверки, не вывод о вине."
16,100000004400305100,coordinator,0.9202,"Признаки узла управления: получает от 7, переводит 82 получателям, по посредничеству в топ-1% узлов, достижим от 7 seed. Из полученного 173 тыс (76%) прослеживается к seed. Блокировка убирает 2.5% меченого потока. Кластер 1. Гипотеза для проверки, не вывод о вине."
17,100000001530983100,consolidator,0.9151,"Признаки сбора: 4 разных плательщиков, получил 564 тыс; передал дальше в 3,2 раза больше полученного (есть невидимые поступления извне). Из полученного 524 тыс (91%) прослеживается к seed. Блокировка убирает 0.9% меченого потока. Кластер 7. Гипотеза для проверки, не вывод о вине."
